team_full_name,team_id,game_type,game_type_id,playoff_outcome,playoff_outcome_id,years_since_last_active,start_year,team_improvement_during_regular_season,regular_season_sum,made_playoffs_sum,won_stanley_cup_sum,made_playoffs_efficiency,won_stanley_cup_efficiency,time_on_ice,regular_season_count,made_playoffs_count,won_stanely_cup_count,lost_in_stanely_cup_final_count,games_played,wins,nhl_metrics,nhl_metric_variance_values
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2010,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3811.0,1,0,0,0,82,37,low_danger_chances_for,66.66666666666674
Atlanta Thrashers,11,Regular Season,2,Other,0,14,2010,1.0512820512820513,11,1,0,0.09090909090909091,1e-09,3909.0,1,0,0,0,82,34,low_danger_chances_for,78.66666666666674
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2010,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3777.0,1,0,0,0,82,40,low_danger_chances_for,16.666666666666742
Florida Panthers,13,Regular Season,2,Other,0,0,2010,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3910.0,1,0,0,0,82,30,low_danger_chances_for,61.66666666666674
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2010,0.09433962264150943396,32,16,3,0.5,0.1875,3751.0,1,0,0,0,82,46,low_danger_chances_for,-94.33333333333326
Washington Capitals,15,Regular Season,2,Other,0,0,2010,2.5714285714285714,50,33,1,0.66,0.030303031,3857.0,1,0,0,0,82,48,low_danger_chances_for,65.66666666666674
Chicago Blackhawks,16,Regular Season,2,Other,0,0,2010,-0.09756097560975609756,98,63,6,0.6428571428571429,0.0952381,3967.0,1,0,0,0,82,44,low_danger_chances_for,99.66666666666674
Detroit Red Wings,17,Regular Season,2,Other,0,0,2010,-0.01724137931034482759,92,62,11,0.6739130434782609,0.17741935,3852.0,1,0,0,0,82,47,low_danger_chances_for,190.66666666666674
Nashville Predators,18,Regular Season,2,Other,0,0,2010,-0.31746031746031746032,26,16,0,0.6153846153846154,6.25e-11,3897.0,1,0,0,0,82,44,low_danger_chances_for,-83.33333333333326
St Louis Blues,19,Regular Season,2,Other,0,0,2010,-0.28571428571428571429,57,45,1,0.7894736842105263,0.022222223,3883.0,1,0,0,0,82,38,low_danger_chances_for,86.66666666666674
Calgary Flames,20,Regular Season,2,Other,0,0,2010,-0.38043478260869565217,44,25,1,0.5681818181818182,0.04,3836.0,1,0,0,0,82,41,low_danger_chances_for,123.66666666666674
Colorado Avalanche,21,Regular Season,2,Other,0,0,2010,-0.40384615384615384615,29,20,3,0.6896551724137931,0.15,3841.0,1,0,0,0,82,30,low_danger_chances_for,-210.33333333333326
Edmonton Oilers,22,Regular Season,2,Other,0,0,2010,-0.01449275362318840580,45,26,5,0.5777777777777777,0.1923077,3780.0,1,0,0,0,82,25,low_danger_chances_for,-181.33333333333326
Vancouver Canucks,23,Regular Season,2,Other,0,0,2010,0E-20,54,29,0,0.5370370370370371,3.4482757e-11,3820.0,1,0,0,0,82,54,low_danger_chances_for,89.66666666666674
Anaheim Ducks,24,Regular Season,2,Other,0,0,2010,-0.32394366197183098592,31,14,1,0.45161290322580644,0.071428575,3845.0,1,0,0,0,82,47,low_danger_chances_for,-229.33333333333326
Dallas Stars,25,Regular Season,2,Other,0,0,2010,-0.30927835051546391753,31,19,1,0.6129032258064516,0.05263158,3803.0,1,0,0,0,82,42,low_danger_chances_for,-162.33333333333326
Los Angeles Kings,26,Regular Season,2,Other,0,0,2010,-0.16666666666666666667,57,33,2,0.5789473684210527,0.060606062,3854.0,1,0,0,0,82,46,low_danger_chances_for,95.66666666666674
Phoenix Coyotes,27,Regular Season,2,Other,0,11,2010,0.07228915662650602410,17,8,0,0.47058823529411764,1.25e-10,3858.0,1,0,0,0,82,43,low_danger_chances_for,37.66666666666674
San Jose Sharks,28,Regular Season,2,Other,0,0,2010,-0.07692307692307692308,33,21,0,0.6363636363636364,4.7619048e-11,3903.0,1,0,0,0,82,48,low_danger_chances_for,159.66666666666674
Columbus Blue Jackets,29,Regular Season,2,Other,0,0,2010,-0.16901408450704225352,24,6,0,0.25,1.6666667e-10,3771.0,1,0,0,0,82,34,low_danger_chances_for,-51.33333333333326
Minnesota Wild,30,Regular Season,2,Other,0,0,2010,-0.02941176470588235294,24,13,0,0.5416666666666666,7.692307e-11,3828.0,1,0,0,0,82,39,low_danger_chances_for,-136.33333333333326
New Jersey Devils,1,Regular Season,2,Other,0,0,2011,0.33333333333333333333,42,23,3,0.5476190476190477,0.13043478,3938.0,1,0,0,0,82,48,low_danger_chances_for,-230.79999999999995
New York Islanders,2,Regular Season,2,Other,0,0,2011,0.83333333333333333333,52,29,4,0.5576923076923077,0.13793103,4006.0,1,0,0,0,82,34,low_danger_chances_for,-186.79999999999995
New York Rangers,3,Regular Season,2,Other,0,0,2011,-0.07142857142857142857,98,63,4,0.6428571428571429,0.06349207,3885.0,1,0,0,0,82,51,low_danger_chances_for,-334.79999999999995
Philadelphia Flyers,4,Regular Season,2,Other,0,0,2011,-0.28767123287671232877,57,40,2,0.7017543859649122,0.05,3697.0,1,0,0,0,82,47,low_danger_chances_for,-51.799999999999955
Pittsburgh Penguins,5,Regular Season,2,Other,0,0,2011,-0.22388059701492537313,57,37,5,0.6491228070175439,0.13513513,3865.0,1,0,0,0,82,51,low_danger_chances_for,139.20000000000005
Boston Bruins,6,Regular Season,2,Other,0,0,2011,3.8333333333333333,100,77,6,0.77,0.077922076,3962.0,1,0,0,0,82,49,low_danger_chances_for,272.20000000000005
Buffalo Sabres,7,Regular Season,2,Other,0,0,2011,-0.28571428571428571429,54,29,0,0.5370370370370371,3.4482757e-11,3953.0,1,0,0,0,82,39,low_danger_chances_for,7.2000000000000455
Montreal Canadiens,8,Regular Season,2,Other,0,0,2011,1.0384615384615385,107,85,24,0.794392523364486,0.28235295,3766.0,1,0,0,0,82,31,low_danger_chances_for,-75.79999999999995
Ottawa Senators,9,Regular Season,2,Other,0,0,2011,1.5000000000000000,32,16,4,0.5,0.25,3849.0,1,0,0,0,82,41,low_danger_chances_for,262.20000000000005
Toronto Maple Leafs,10,Regular Season,2,Other,0,0,2011,0.45454545454545454545,97,69,11,0.711340206185567,0.1594203,3975.0,1,0,0,0,82,35,low_danger_chances_for,80.20000000000005
Carolina Hurricanes,12,Regular Season,2,Other,0,0,2011,-0.08108108108108108108,27,11,1,0.4074074074074074,0.09090909,3902.0,1,0,0,0,82,33,low_danger_chances_for,-24.799999999999955
Florida Panthers,13,Regular Season,2,Other,0,0,2011,-0.21686746987951807229,31,10,1,0.3225806451612903,0.1,3957.0,1,0,0,0,82,38,low_danger_chances_for,116.20000000000005
Tampa Bay Lightning,14,Regular Season,2,Other,0,0,2011,0.09433962264150943396,32,16,3,0.5,0.1875,3919.0,1,0,0,0,82,38,low_danger_chances_for,-118.79999999999995
Washington Capitals,15,Regular Season,2,Other,0,0,2011,2.5714285714285714,50,33,1,0.66,0.030303031,3971.0,1,0,0,0,82,42,low_danger_chances_for,23.200000000000045
